# Time-averaged data for fix boxVol
# TimeStep v_boxVol
14370 288952
14380 288960
14390 288957
14400 289007
14410 289127
14420 289194
14430 289093
14440 289072
14450 289076
14460 289059
14470 288994
14480 288862
14490 288759
14500 288756
14510 288777
14520 288776
14530 288892
14540 288955
14550 288923
14560 288893
14570 288936
14580 288928
14590 288911
14600 289005
14610 289084
14620 289101
14630 289072
14640 289089
14650 289187
14660 289296
14670 289251
14680 289241
14690 289325
14700 289329
14710 289351
14720 289336
14730 289193
14740 289086
14750 289074
14760 288890
14770 288820
14780 288833
14790 288826
14800 288755
14810 288810
14820 288917
14830 288959
14840 289007
14850 289156
14860 289125
14870 289147
14880 289244
14890 289368
14900 289246
14910 289168
14920 289127
14930 289114
14940 289203
14950 289195
14960 289114
14970 288999
14980 289030
14990 289030
15000 289046
15010 289136
15020 289083
15030 288998
15040 288994
15050 288927
15060 288889
15070 288918
15080 288844
15090 288817
15100 288806
15110 288735
15120 288718
15130 288764
15140 288770
15150 288797
15160 288839
15170 288924
15180 288998
15190 289159
15200 289246
15210 289360
15220 289409
15230 289497
15240 289491
15250 289387
15260 289354
15270 289275
15280 289142
15290 289022
15300 289011
15310 288987
15320 288918
15330 288871
15340 288880
15350 288933
15360 289029
15370 289050
15380 289128
15390 289116
15400 289200
15410 289268
15420 289328
15430 289281
15440 289165
15450 289157
15460 289144
15470 289232
15480 289178
15490 289122
15500 288958
15510 288845
15520 288696
15530 288618
15540 288444
15550 288427
15560 288514
15570 288614
15580 288660
15590 288633
15600 288631
15610 288862
15620 288945
15630 289034
15640 288910
15650 288787
15660 288714
15670 288641
15680 288643
15690 288568
15700 288534
15710 288543
15720 288511
15730 288531
15740 288446
15750 288367
15760 288360
15770 288441
15780 288564
15790 288699
15800 288749
15810 288721
15820 288640
15830 288542
15840 288512
15850 288541
15860 288528
15870 288472
15880 288442
15890 288557
15900 288621
15910 288677
15920 288668
15930 288710
15940 288724
15950 288663
15960 288553
15970 288385
15980 288382
15990 288359
16000 288291
16010 288134
16020 288032
16030 287876
16040 287774
16050 287765
16060 287824
16070 287712
16080 287701
16090 287805
16100 287948
16110 288110
16120 288233
16130 288223
16140 288287
16150 288239
16160 288158
16170 288108
16180 288041
16190 288012
16200 287977
16210 287966
16220 288003
16230 288054
16240 288174
16250 288203
16260 288153
16270 288291
16280 288458
16290 288535
16300 288624
16310 288764
16320 288818
16330 288970
16340 289086
16350 289063
16360 289035
16370 288969
16380 288799
16390 288658
16400 288586
16410 288460
16420 288329
16430 288313
16440 288184
16450 288210
16460 288381
16470 288436
16480 288493
16490 288571
16500 288534
16510 288493
16520 288456
16530 288542
16540 288668
16550 288791
16560 288729
16570 288510
16580 288472
16590 288502
16600 288593
16610 288759
16620 288885
16630 288860
16640 288944
16650 289049
16660 289066
16670 289009
16680 289070
16690 289153
16700 289291
16710 289301
16720 289255
16730 289256
16740 289158
16750 289122
16760 289113
16770 289118
16780 289055
16790 288992
16800 288902
16810 288791
16820 288697
16830 288809
16840 288891
16850 288811
16860 288712
16870 288547
16880 288528
16890 288552
16900 288419
16910 288454
16920 288533
16930 288522
16940 288482
16950 288512
16960 288510
16970 288542
16980 288488
16990 288472
17000 288480
17010 288497
17020 288591
17030 288641
